x,y,theta,v,kappa
0,0,0.785398163397448,4,0
0.0942471594833843,0.0942452991251446,0.785368553610128,4,-0.000444339454806853
0.188490598250289,0.188475715825031,0.785279712557532,4,-0.000888985953440723
0.282726595731123,0.282676370024509,0.78513160515847,4,-0.00133424692927403
0.376951431650062,0.376832386348272,0.784924172913364,4,-0.00178043059542734
0.471161386171924,0.47092889646985,0.784657333857817,4,-0.00222784633628765
0.565352740049018,0.564951041459495,0.784330982497568,4,-0.0026768051010018
0.659521774767974,0.658883974130574,0.783944989724763,4,-0.0031276197996073
0.753664772696543,0.752712861384112,0.783499202715482,4,-0.00358060570246563
0.847778017230368,0.846422886551112,0.782993444808438,4,-0.00403608084366717
0.941857792939701,0.939999251732282,0.782427515364746,4,-0.00449436642908131
1.03590038571609,1.03342718013479,0.781801189608655,4,-0.00495578724973082
1.12990208291899,1.12669191840568,0.781114218449105,4,-0.00542067210117492
1.22385917352236,1.21977873896163,0.780366328281983,4,-0.00588935420959247
1.31776794826115,1.31267294231457,0.779557220772915,4,-0.00636217166526329
1.41162469977771,1.40535985939293,0.778686572620422,4,-0.00683946786415308
1.50542572276822,1.49782485385805,0.777754035299276,4,-0.00732159195831511
1.5991673141289,1.59005332441541,0.776759234783844,4,-0.00780889931582995
1.69284577310223,1.68203070712036,0.775701771251237,4,-0.00830175199101241
1.78645740142305,1.77374247767794,0.774581218764036,4,-0.00880051920562313
1.87999850346456,1.86517415373641,0.773397124932374,4,-0.00930557784183019
1.97346538638424,1.95631129717423,0.772149010555158,4,-0.00981731294767383
2.06685436026957,2.04713951637994,0.770836369240162,4,-0.0103361182557944
2.16016173828378,2.13764446852482,0.769458667002783,4,-0.0108623967161903
2.25338383681136,2.22781186182776,0.768015341843169,4,-0.0113965610437785
2.34651697560346,2.31762745781211,0.766505803301506,4,-0.0119390342815334
2.43955747792325,2.40707707355407,0.764929431991173,4,-0.0124902503799839
2.53250167069101,2.4961465839224,0.763285579109535,4,-0.0130506547938492
2.62534588462914,2.58482192380888,0.761573565926106,4,-0.0136207050965912
2.71808645440706,2.67308909034938,0.759792683247847,4,-0.0142008716136592
2.81071971878587,2.76093414513508,0.757942190861342,4,-0.0147916380751936
2.9032420207629,2.84834321641351,0.756021316951633,4,-0.015393502288945
2.99564970771611,2.93530250127902,0.754029257497504,4,-0.0160069768341507
3.08793913154822,3.02179826785247,0.75196517564299,4,-0.016632589777087
3.18010664883082,3.10781685744963,0.749828201044958,4,-0.0172708854089931
3.27214862094814,3.19334468673804,0.747617429196596,4,-0.0179224250070269
3.36406141424072,3.278368249882,0.745331920726682,4,-0.0185877876188717
3.45584140014886,3.36287412067524,0.742970700674559,4,-0.0192675708715668
3.54748495535587,3.44684895466116,0.740532757740764,4,-0.0199623918050697
3.63898846193111,3.53027949123999,0.738017043513311,4,-0.020672887730993
3.73034830747282,3.61315255576286,0.735422471669695,4,-0.0213997171168713
3.82156088525073,3.69545506161219,0.732747917154739,4,-0.0221435604962151
3.91262259434845,3.77717401226821,0.729992215334468,4,-0.0229051214044984
4.00352983980563,3.8582965033613,0.727154161126305,4,-0.0236851273410894
4.09427903275988,3.93880972470972,0.724232508105941,4,-0.0244843307569831
4.18486659058844,4.01870096234248,0.721225967591364,4,-0.0253035100680182
4.27528893704964,4.09795760050702,0.718133207704635,4,-0.0261434706930568
4.36554250242408,4.17656712366141,0.714952852412123,4,-0.0270050461163796
4.45562372365552,4.25451711845067,0.711683480544081,4,-0.0278890989732793
4.54552904449161,4.33179527566701,0.708323624794583,4,-0.0287965221575447
4.63525491562421,4.40838939219355,0.70487177070303,4,-0.0297282399491826
4.72479779482957,4.48428737293139,0.701326355618643,4,-0.0306852091603491
4.81415414710814,4.55947723270954,0.697685767649568,4,-0.0316684202970262
4.90332044482414,4.63394709817751,0.693948344598481,4,-0.0326788987334981
4.9922931678448,4.70768520968025,0.690112372886832,4,-0.0337177058961365
5.08106880367937,4.78067992311517,0.686176086470188,4,-0.0347859404523949
5.16964384761776,4.85291971177083,0.682137665747437,4,-0.0358847395002274
5.25801480286889,4.92439316814717,0.677995236467016,4,-0.0370152797523913
5.34617818069876,4.99508900575689,0.673746868633677,4,-0.0381787787092387
5.43413050056819,5.06499606090768,0.669390575419783,4,-0.039376495812662
5.52186829027017,5.13410329446517,0.664924312085573,4,-0.0406097335728089
5.60938808606701,5.20239979359604,0.660345974913366,4,-0.0418798386580224
5.69668643282702,5.26987477349137,0.655653400161262,4,-0.0431882029371752
5.78375988416095,5.33651757906964,0.650844363042477,4,-0.044536264462153
5.87060500255804,5.4023176866593,0.645916576737169,4,-0.0459255083766749
5.95721835952171,5.46726470566059,0.640867691444314,4,-0.0473574677359269
6.04359653570494,5.5313483801863,0.635695293482007,4,-0.0488337242195949
6.12973612104524,5.59455859068137,0.630396904445419,4,-0.0503559087188257
6.21563371489926,5.65688535552078,0.624969980432568,4,-0.05192570177539
6.30128592617709,5.71831883258586,0.619411911349087,4,-0.0535448338488702
6.38668937347609,5.77884932081842,0.613720020304248,4,-0.0552150853850306
6.47184068521438,5.83846726175267,0.607891563111661,4,-0.0569382866556427
6.55673649976399,5.89716324102464,0.601923727909342,4,-0.0587163173369272
6.64137346558352,5.95492798985876,0.59581363491517,4,-0.060551105790418
6.72574824135048,6.01175238653157,0.589558336335192,4,-0.0624446280064712
6.8098574960932,6.06762745781211,0.583154816443763,4,-0.0643989061668061
6.89369790932232,6.12254438037888,0.576599991856123,4,-0.0664160067784006
6.97726617116188,6.17649448221321,0.56989071201574,4,-0.0684980383267657
7.06055898247999,6.22946924396859,0.563023759920552,4,-0.0706471483921127
7.14357305501909,6.28146030031606,0.555995853114133,4,-0.0728655201672217
7.22630511152573,6.33245944126511,0.548803644969809,4,-0.0751553683109549
7.30875188587998,6.38245861346019,0.541443726297815,4,-0.0775189340663732
7.39091012322437,6.43144992145239,0.533912627307706,4,-0.0799584795673597
7.47277658009236,6.47942562894626,0.526206819960465,4,-0.0824762812526119
7.55434802453641,6.52637816002144,0.518322720746956,4,-0.0850746223009004
7.63562123625557,6.57230010032898,0.510256693931667,4,-0.0877557839967375
7.7165930067226,6.61718419826215,0.502005055302922,4,-0.0905220359311579
7.79726013931064,6.66102336610158,0.493564076473016,4,-0.0933756249383618
7.87761944941943,6.70381068113448,0.48492998977386,4,-0.0963187626656704
7.95766776460101,6.74553938674778,0.476098993795811,4,-0.0993536116718272
8.03740192468495,6.78620289349515,0.467067259619266,4,-0.102482269947376
8.11681878190314,6.82579478013747,0.457830937790304,4,-0.105706753750955
8.19591520101404,6.86430879465688,0.448386166093066,4,-0.109028978657165
8.27468805942645,6.90173885524403,0.438729078172652,4,-0.112450738715626
8.35313424732282,6.93807905125844,0.428855813062927,4,-0.115973683627187
8.43125066778196,6.97332364416188,0.418762525673746,4,-0.119599293852658
8.50903423690135,7.00746706842459,0.40844539829156,4,-0.123328853582135
8.58648188391886,7.04050393240405,0.397900653146069,4,-0.12716342150967
8.66359055133401,7.07242901919648,0.387124566093454,4,-0.131103799379149
8.74035719502864,7.10323728746058,0.376113481463482,4,-0.135150498293321
8.8167787843871,7.13292387221365,0.364863828113483,4,-0.139303702809583
8.89285230241589,7.16148408559982,0.353372136726522,4,-0.143563232883799
8.96857474586278,7.18891341763032,0.341635058383962,4,-0.147928503767639
9.04394312533537,7.21520753689565,0.329649384433887,4,-0.152398484016106
9.11895446541908,7.24036229124956,0.31741206766633,4,-0.156971651820262
9.19360580479465,7.26437370846473,0.304920244793793,4,-0.161645949945927
9.26789419635501,7.28723799686005,0.292171260221052,4,-0.166418739632149
9.34181670732169,7.30895154589933,0.279162691071593,4,-0.171286753883296
9.41537041936051,7.32951092676145,0.265892373419058,4,-0.176246050675032
9.48855242869687,7.34891289288185,0.2523584296509,4,-0.181291966686263
9.56135984623034,7.36715438046516,0.238559296867945,4,-0.18641907226497
9.63378979764877,7.38423250896904,0.22449375619779,4,-0.191621128433807
9.70583942354166,7.40014458155901,0.210160962872165,4,-0.196891046839022
9.77750587951318,7.41488808553436,0.195560476888692,4,-0.202220853640755
9.84878633629435,7.42846069272488,0.180692294046215,4,-0.207601658430531
9.91967797985478,7.44086025985858,0.165556877110434,4,-0.213023629338698
9.99017801151378,7.45208482890006,0.150155186833625,4,-0.218475975556218
10.0602836480508,7.46213262735975,0.134488712519176,4,-0.223946938536401
10.1299921218154,7.47100206857379,0.118559501789514,4,-0.229423793157815
10.1993006808363,7.47869175195461,0.102370189185485,4,-0.234892860114072
10.2682065889303,7.48520046321204,0.0859240231974069,4,-0.24033953074444
10.3367071258102,7.49052717454513,0.0692248913039402,4,-0.24574830542611
10.4047995871921,7.49467104480442,0.0522773425757711,4,-0.251102846510584
10.4724812849021,7.49763141962475,0.0350866073880161,4,-0.256386046599696
10.5397495469827,7.49940783152862,0.0176586137795346,4,-0.261580112719896
10.6066017177982,7.5,3.14018491736755E-16,4,-0.266666666666666
10.6730351581393,7.49940783152862,-0.0178818772022064,4,-0.271626861456928
10.7390472453275,7.49763141962475,-0.0359789389756357,4,-0.276441513450809
10.8046353733186,7.49467104480442,-0.0542823858356395,4,-0.28109124929299
10.8697969528057,7.49052717454513,-0.0727827045540226,4,-0.285556666388111
10.9345294113212,7.48520046321204,-0.0914696807573901,4,-0.289818505177674
